Année_championnat,Nom_circuit,circuitId,Num_course,Date_course,Heure_course,Pilote,Date_naissance,Nationalite,Nom_ecurie,Numero_voiture,Nationalite_ecurie,Position_finale,points,Nb_tours,time,fastestLap,fastestLapTime,fastestLapSpeed
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Fernando Alonso,1981-07-29,Spanish,Ferrari,8,Italian,1,25.0,49,1:39:20.396,45,1:58.287,191.706
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Felipe Massa,1981-04-25,Brazilian,Ferrari,7,Italian,2,18.0,49,+16.099,38,1:59.732,189.392
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Lewis Hamilton,1985-01-07,British,McLaren,2,British,3,15.0,49,+23.182,42,1:59.560,189.665
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Sebastian Vettel,1987-07-03,German,Red Bull,5,Austrian,4,12.0,49,+38.799,32,2:00.218,188.627
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Nico Rosberg,1985-06-27,German,Mercedes,4,German,5,10.0,49,+40.213,45,2:00.236,188.599
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Michael Schumacher,1969-01-03,German,Mercedes,3,German,6,8.0,49,+44.163,45,2:00.204,188.649
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Jenson Button,1980-01-19,British,McLaren,1,British,7,6.0,49,+45.280,45,1:59.970,189.017
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Mark Webber,1976-08-27,Australian,Red Bull,6,Austrian,8,4.0,49,+46.360,45,1:59.487,189.781
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Vitantonio Liuzzi,1980-08-06,Italian,Force India,15,Indian,9,2.0,49,+53.008,39,1:59.906,189.118
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Rubens Barrichello,1972-05-23,Brazilian,Williams,9,British,10,1.0,49,+1:02.489,47,1:59.833,189.233
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Robert Kubica,1984-12-07,Polish,Renault,11,French,11,0.0,49,+1:09.093,33,2:00.474,188.226
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Adrian Sutil,1983-01-11,German,Force India,14,Indian,12,0.0,49,+1:22.958,49,1:59.393,189.930
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Jaime Alguersuari,1990-03-23,Spanish,Toro Rosso,17,Italian,13,0.0,49,+1:32.656,28,1:59.964,189.026
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Nico Hülkenberg,1987-08-19,German,Williams,10,British,14,0.0,48,\N,34,2:01.401,186.789
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Heikki Kovalainen,1981-10-19,Finnish,Lotus,19,Malaysian,15,0.0,47,\N,47,2:02.701,184.810
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Sébastien Buemi,1988-10-31,Swiss,Toro Rosso,16,Italian,16,0.0,46,\N,41,2:00.080,188.844
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Jarno Trulli,1974-07-13,Italian,Lotus,18,Malaysian,17,0.0,46,\N,34,2:02.930,184.465
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Pedro de la Rosa,1971-02-24,Spanish,Sauber,22,Swiss,18,0.0,28,\N,27,2:01.650,186.406
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Bruno Senna,1983-10-15,Brazilian,HRT,21,Spanish,19,0.0,17,\N,14,2:09.127,175.613
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Timo Glock,1982-03-18,German,Virgin,24,British,20,0.0,16,\N,11,2:07.062,178.467
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Vitaly Petrov,1984-09-08,Russian,Renault,12,French,21,0.0,13,\N,7,2:04.307,182.422
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Kamui Kobayashi,1986-09-13,Japanese,Sauber,23,Swiss,22,0.0,11,\N,4,2:05.044,181.347
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Lucas di Grassi,1984-08-11,Brazilian,Virgin,25,British,23,0.0,2,\N,2,2:09.361,175.295
2010,Bahrain Grand Prix,3,1,2010-03-14,12:00:00,Karun Chandhok,1984-01-19,Indian,HRT,20,Spanish,24,0.0,1,\N,\N,\N,\N
