driver_name,url_picture
Lewis Hamilton,http://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Lewis_Hamilton_2016_Malaysia_2.jpg/220px-Lewis_Hamilton_2016_Malaysia_2.jpg
Nick Heidfeld,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Nick_Heidfeld_Goodwood_Festival_of_Speed_2019_%2848242681251%29.jpg/220px-Nick_Heidfeld_Goodwood_Festival_of_Speed_2019_%2848242681251%29.jpg
Nico Rosberg,http://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Nico_Rosberg_2016.jpg/220px-Nico_Rosberg_2016.jpg
Fernando Alonso,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Alonso_2016.jpg/240px-Alonso_2016.jpg
Heikki Kovalainen,http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Effect_20190609_091716.jpg/220px-Effect_20190609_091716.jpg
Kazuki Nakajima,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Kazuki_Nakajima_2012_WEC_Fuji.jpg/220px-Kazuki_Nakajima_2012_WEC_Fuji.jpg
Sébastien Bourdais,http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Sebastien_Bourdais_in_2021_%2851221641988%29_%28cropped%29.jpg/220px-Sebastien_Bourdais_in_2021_%2851221641988%29_%28cropped%29.jpg
Kimi Räikkönen,http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/F12019_Schloss_Gabelhofen_%2822%29_%28cropped%29.jpg/220px-F12019_Schloss_Gabelhofen_%2822%29_%28cropped%29.jpg
Robert Kubica,http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/2019_Formula_One_tests_Barcelona%2C_Kubica_%2832309897777%29.jpg/220px-2019_Formula_One_tests_Barcelona%2C_Kubica_%2832309897777%29.jpg
Timo Glock,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Timo_Glock_Canada_2011-Cropped.jpg/220px-Timo_Glock_Canada_2011-Cropped.jpg
Takuma Sato,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Takuma_Sato_%282021%29.jpg/220px-Takuma_Sato_%282021%29.jpg
