year,race_name,weather,Course_Type,laps,distance
2010,Bahrain Grand Prix,1,Permanent racing facility,49,308.405
2010,Australian Grand Prix,3,Temporary street circuit,58,307.574
2010,Malaysian Grand Prix,2,Permanent racing facility,56,310.408
2010,Chinese Grand Prix,3,Permanent racing facility,56,305.066
2010,Spanish Grand Prix,2,Permanent racing facility,66,307.104
2010,Monaco Grand Prix,2,Street circuit,78,260.52
2010,Turkish Grand Prix,3,Permanent racing facility,58,309.396
2010,Canadian Grand Prix,3,Street circuit,70,305.270
2010,European Grand Prix,1,Temporary street circuit,57,308.883
2010,British Grand Prix,1,Permanent racing facility,52,306.747
2010,German Grand Prix,2,Permanent racing facility,67,306.458
2010,Hungarian Grand Prix,1,Permanent racing facility,70,306.630
2010,Belgian Grand Prix,3,Permanent racing facility,44,308.052
2010,Italian Grand Prix,1,Permanent racing facility,53,306.720
2010,Singapore Grand Prix,1,Street Circuit,61,309.316
2010,Japanese Grand Prix,1,Permanent racing facility,53,307.471
2010,Korean Grand Prix,3,Korea International Circuit,55,308.630
2010,Brazilian Grand Prix,1,Permanent racing facility,71,305.909
2010,Abu Dhabi Grand Prix,1,Yas Marina Circuit,55,305.355
2011,Australian Grand Prix,1,Temporary street circuit,58,307.574
2011,Malaysian Grand Prix,2,Permanent racing facility,56,310.408
2011,Chinese Grand Prix,1,Permanent racing facility,56,305.066
2011,Turkish Grand Prix,1,Permanent racing facility,58,309.396
2011,Spanish Grand Prix,1,Permanent racing facility,66,307.104
2011,Monaco Grand Prix,1,Street circuit,78,260.52
2011,Canadian Grand Prix,3,Street circuit,70,305.270
2011,European Grand Prix,1,Temporary street circuit,57,308.883
2011,British Grand Prix,3,Permanent racing facility,52,306.198
2011,German Grand Prix,3,Permanent racing facility,60,308.863
2011,Hungarian Grand Prix,3,Permanent racing facility,70,306.630
2011,Belgian Grand Prix,2,Permanent racing facility,44,308.176
2011,Italian Grand Prix,1,Permanent racing facility,53,306.720
2011,Singapore Grand Prix,3,Street circuit,61,309.087
2011,Japanese Grand Prix,1,Permanent racing facility,53,307.573
2011,Korean Grand Prix,3,Korea International Circuit,55,309.155
2011,Indian Grand Prix,1,Permanent racing facility,60,307.249
2011,Abu Dhabi Grand Prix,1,Yas Marina Circuit,55,305.470
2011,Brazilian Grand Prix,1,Permanent racing facility,71,305.909
2012,Australian Grand Prix,1,Temporary street circuit,58,307.574
